company,brand_strength,average_time,recr_eff,assets_2021,assets_2022,net_inc_2022,roa
Russian Railways technology,"11,90%","27,0000000000000","0,0370370370370","6693046,000",NA,NA,NA
Sber,"47,80%","15,5286446204006","0,0643971205759","41165500,000","41871800,000","270500,000","0,6515144399%"
Sbermarket,"30,80%","16,1473684210526","0,0619295958279","12794,521","15427,354","-20306,694","-143,9074760270%"
Sbermegamarket,"28,90%","10,3000000000000","0,0970873786408","29303,931","11905,932","-19301,174","-93,6725948349%"
Selectel,"83,10%","15,9743589743590","0,0626003210273","9373,577","13768,596","1492,574","12,8991689761%"
Severstal,"56,20%","14,0479041916168","0,0711849957374","633641,690",NA,NA,NA
Sibur,"51,70%","15,0742358078603","0,0663383545771","1577438,278",NA,NA,NA
Skyeng,"57,30%","7,0734463276836","0,1413738019169","1121923,060","3187,898","-83,894","-0,0149130180%"
Softline,"46,30%","17,9182692307692","0,0558089616313","33939,000","44773,000","6485,000","16,4777924586%"
Tele2,"32,40%","14,9638554216867","0,0668276972625","242827,799","247320,770","25221,541","10,2913861613%"
Tensor,"28,40%","18,1709844559586","0,0550327915597","3517,284","4730,051","0,169","0,0040982936%"
The first bit,"12,20%","11,4298780487805","0,0874899973326","52,115","48,195","91,794","183,0206360283%"
Tinkoff,"61,20%","13,9199522102748","0,0718393270964","1318000,000","1599000,000","20800,000","1,4261227288%"
Tochka Bank,"67,20%","10,0270270270270","0,0997304582210","6737,578","14069,355","6249,415","60,0705063067%"
VK,"66,40%","15,8766859344894","0,0629854368932","297739,000","360915,000","-3910,000","-1,1872697957%"
VTB,"26,50%","13,1408114558473","0,0760988013077","20859300,000","24424000,000","-612600,000","-2,7056332025%"
Wildberries,"5,00%","10,8602941176471","0,0920785375762","113417,001","202419,571","10112,566","6,4036700601%"
X5,"53,40%","15,2625000000000","0,0655200655201","1286748,000","1352015,000","45188,000","3,4249381244%"
Yandex,"79,70%","18,6814322628276","0,0535290863105","515496,000","616719,000","47615,000","8,4109466842%"
